x1,x2,theta
-0.30280453,1.4406893,4.8614373
-0.56975275,-1.165468,4.588591
-0.06586875,-1.3117384,5.0199647
0.7334548,-0.04394594,4.25333
-0.21498443,-0.67908067,5.9121194
-0.49662572,-0.25843334,5.3499928
-1.1523652,-0.15392174,3.804068
0.50724614,-0.21242483,6.073797
0.2772518,0.52335554,5.9293633
-0.8617619,1.0612975,2.6445012
-1.0279773,-0.50085986,0.9834297
-1.4686853,0.2774203,2.7825232
0.5537059,-0.34109864,4.0265303
0.44371536,-0.032314543,2.6378548
-0.40657592,0.2795723,5.849376
-0.29183543,-0.34008515,6.1265516
-0.47908917,-0.08531102,6.0241814
0.6074122,0.0027580676,4.7106733
0.38572207,0.15555768,2.7324169
0.9136301,0.0016938752,0.9989488
-0.05750914,1.1944392,2.1063182
0.09506927,0.5009038,3.704305
0.21168333,0.89509314,5.3508987
-1.0761896,1.0583483,2.264404
0.40089545,1.3075528,1.5972751
-1.1274154,-0.93049186,0.53931147
-0.8444637,1.1159118,2.383398
0.9349474,-0.773538,3.0852666
-0.5350056,1.3630145,2.0164309
-0.44285014,-0.25804025,5.689399
0.3282125,-1.559712,4.903893
-1.2821791,-0.21391948,0.60062015
0.66515845,-0.268014,1.0599388
-1.3416053,-0.05137319,0.21538986
-0.78266156,-0.8413166,4.4611435
-0.8716905,-1.1676084,3.9409773
-1.4492866,-0.56459284,3.37171
0.95502377,-1.2447238,5.184465
-0.29455,-0.34848407,4.0342383
-0.29565024,0.48399764,4.3264403
-0.3210363,0.36945853,4.183159
0.33464727,0.91643476,2.302297
0.59551334,0.74111265,1.9151425
0.76338136,0.7300897,1.57699
-1.463167,0.1484702,6.180674
-1.0572592,-0.35147533,0.99533
-1.4095848,-0.28260788,3.1859412
0.031479836,1.0012343,5.5979095
-1.1895016,-0.579865,3.9314053
-0.033671923,1.1732627,2.2732098
0.40364176,-0.14580476,5.52854
-0.24202563,0.38435566,2.3903773
0.054208875,-0.921801,5.5006566
-0.4141763,-0.30083606,2.867112
0.08288404,-0.4465727,4.0724435
1.3408313,-0.5479062,2.8649123
0.7083067,-0.16233388,1.1806974
-0.00049713324,-0.8264544,2.731751
-1.4688292,-0.4923735,0.19571663
-0.1667408,-0.74483496,2.5644672
0.42399427,0.09453617,6.1562076
0.8274039,-0.20706199,0.99197966
-0.9573434,-0.5883734,4.1525803
0.3431066,-0.23902045,2.0090384
0.88792586,-1.2511779,5.2057967
0.29347387,-1.4663056,4.820329
1.110986,0.67986804,3.8868873
0.46547997,-0.13456996,3.3804703
1.407371,0.4101399,0.23685023
-0.48748255,-0.3494645,2.0937078
1.4151187,-0.5416427,2.6788747
0.28159356,-0.5370982,2.4759994
0.023249887,0.5286381,3.2725005
-0.19696736,-0.51350003,4.5961156
-0.98444426,-0.4555574,1.0368497
0.27870348,0.34947345,3.5417392
0.041427992,0.49512213,3.4987092
0.46824878,-0.47547108,3.7226117
0.47560087,1.2881877,4.4018793
-0.74293554,-0.6424822,4.8063016
0.44133273,0.094121754,6.044432
0.5221575,-0.07032317,1.8815687
-0.5572205,-0.6569491,5.046592
-0.9332994,0.3715523,3.5961072
-0.81498593,-0.31117028,4.3666577
-0.26271892,-1.4857396,4.623584
-0.76401496,-0.7919977,1.471928
0.8516211,-1.1988894,5.4246483
-0.6309352,0.045887645,1.2437596
1.2190521,0.7829892,0.71089786
-0.0771702,0.3946632,1.5733827
-0.33401877,-0.15727742,3.538278
0.5451766,1.1200671,1.571127
-0.043000072,-1.5611228,4.650101
0.093956776,-0.54914284,0.08472136
0.9774734,-0.62741435,6.190932
0.9695068,0.5085777,1.1222429
-0.3058838,-0.211007,0.6707414
-0.57619286,-0.18314205,3.671983
0.24814388,0.80982137,2.278905
-0.14701883,0.39859632,1.5994859
1.208609,-0.9695705,5.4852667
-0.93404084,-0.1673733,0.8925817
0.7470922,-0.74674255,3.2123117
-0.067305535,0.6001171,3.1909037
-1.1190505,0.4426985,0.20518903
-0.10732233,-0.39806524,0.7224979
-0.1812567,-1.3104107,1.7142644
0.20026885,-1.1558732,2.3916526
0.3770525,0.26212534,5.801228
-0.20069063,0.40118325,4.508913
1.3795925,0.52690727,3.4980178
-1.0782768,0.89509046,5.6954684
-0.7028178,-0.302945,4.7141285
0.5281904,-0.07227628,3.168874
0.8976322,-1.0586307,2.483193
0.5478657,1.107248,1.4499092
-0.5605248,-1.3061785,4.3622622
-0.18152802,0.39187166,4.4428844
-0.15108065,0.46121383,1.3184184
0.3054127,0.42905414,1.0534812
-0.009997637,0.41581044,1.5811852
-0.3525392,1.3522596,5.181227
-0.8152464,-0.83309627,4.302928
0.87805223,-0.6585627,3.1177988
-0.36480275,-0.5909727,2.4320035
-0.50400794,0.6515031,3.323895
-0.90997994,1.2661482,5.2848086
0.43420213,-0.21151035,5.137889
-0.3280999,-0.6111027,2.3953
0.07056514,1.1210093,2.1834097
-0.47283632,0.3552633,4.3011675
0.0027282087,0.82097346,5.972545
0.30959588,0.36426076,4.29985
-0.576517,0.64220166,0.052792385
0.29595217,0.29676452,4.296878
-0.8439618,1.0765232,2.31577
-0.7735391,-0.018823512,1.3611219
0.96315396,0.595285,4.333647
-0.18989271,-0.82587814,2.3284154
0.9913139,0.97273326,4.1580687
0.55310667,-1.1531268,2.4684613
1.5558655,0.09974999,0.0101614995
0.60092854,-1.3215652,2.14709
0.6402244,0.387487,1.8889962
-1.1941946,0.4396905,0.075519346
-0.38958856,-0.1387514,6.2284107
-1.1631536,0.8628587,2.589955
-0.3897268,1.1565622,5.5531125
0.32365215,0.5825485,5.650279
0.073250204,-0.5763089,3.3700225
0.37056327,1.1563828,4.903688
0.12436945,-1.1507182,5.4247026
-0.34725308,-0.39053532,3.5795865
-0.12818797,0.58408844,3.3100595
-1.2452703,0.24757995,0.24639754
-0.04754972,-0.59014076,6.168895
-0.5672599,0.97638184,2.6429973
-0.10228364,0.4641425,4.710489
0.70417374,-0.26377124,4.014853
0.56477344,0.22943883,1.7741889
-1.3168985,-0.71221954,3.4571965
-0.38395345,-0.4844533,2.650685
-0.5050087,0.59705764,0.2644619
-0.11838439,0.4476412,5.0268865
-0.43198776,0.6073598,3.3834074
-0.92387664,0.9217793,2.7307005
-0.009923904,-0.43580273,0.52443945
1.4180712,-0.36158672,2.7760208
1.12278,-0.57867754,3.0563774
-0.93593746,0.97696394,2.7444358
-0.4601336,0.10787268,5.581689
0.38034597,-0.10421955,5.9341855
0.30092755,-0.8504703,6.054814
0.6136791,-0.18188646,4.3338413
-0.5046963,0.61161476,0.44157863
0.032406397,0.47750536,0.6497184
-0.63784784,-0.5705787,4.9977236
-0.1999558,-0.51998824,1.4124087
1.3376687,-0.29267654,3.175405
0.5238526,0.8405663,4.984296
-0.37456834,-0.64399225,2.2920837
-0.94662714,0.5408003,3.3071086
0.81810975,0.35572863,1.5284827
-0.7093086,-0.9364841,4.504757
0.048121188,-0.38725474,5.025249
-0.4282312,-0.25060824,2.4264042
-0.4943588,-0.17850953,5.819793
